RCDTS,School Name,City,County,School Type,SAT Reading Average Score,SAT Math Average Score,Total SAT Score,SAT Score Percentage
010010010260001,Seymour High School,Payson,Adams,HIGH SCHOOL,473.4,455.2,928.5999999999999,58%
010010020260001,Liberty High School,Liberty,Adams,HIGH SCHOOL,470.2,481.5,951.7,59%
010010030260001,Central High School,Camp Point,Adams,HIGH SCHOOL,506.2,507.1,1013.3,63%
010010040260001,Unity High School,Mendon,Adams,HIGH SCHOOL,485.1,464.4,949.5,59%
010011720220003,Quincy Sr High School,Quincy,Adams,HIGH SCHOOL,476.4,449.4,925.8,57%
010050010260001,Brown County High School,Mount Sterling,Brown,HIGH SCHOOL,491.0,487.1,978.1,61%
010090150260007,Beardstown Jr/Sr High School,Beardstown,Cass,HIGH SCHOOL,419.3,394.2,813.5,50%
010090640260003,Virginia Jr/ Sr High School,Virginia,Cass,HIGH SCHOOL,490.8,468.3,959.1,59%
010092620260002,A-C Central High School,Ashland,Cass,HIGH SCHOOL,469.2,441.7,910.9,56%
010690010260001,Franklin Jr/Sr High School,Franklin,Morgan,HIGH SCHOOL,455.5,433.6,889.1,55%
010690060260001,Waverly Junior/Senior High School,Waverly,Morgan,HIGH SCHOOL,445.2,424.8,870.0,54%
010690110260001,Meredosia-Chambersburg High Sch,Meredosia,Morgan,HIGH SCHOOL,416.7,388.7,805.4,50%
010690270260001,Triopia Jr-Sr High School,Concord,Morgan,HIGH SCHOOL,476.2,491.0,967.2,60%
010691170220014,Jacksonville High School,Jacksonville,Morgan,HIGH SCHOOL,477.6,448.2,925.8,57%
010750030260002,Pleasant Hill High School,Pleasant Hill,Pike,HIGH SCHOOL,438.3,422.3,860.6,53%
010750040260002,Griggsville-Perry High School,Griggsville,Pike,HIGH SCHOOL,461.0,438.0,899.0,56%
010750100260009,Pittsfield High School,Pittsfield,Pike,HIGH SCHOOL,470.5,450.3,920.8,57%
010750120260001,Western High School,Barry,Pike,HIGH SCHOOL,493.3,463.7,957.0,59%
010860010260001,Winchester High School,Winchester,Scott,HIGH SCHOOL,460.3,443.6,903.9000000000001,56%
010860020260001,Bluffs High School,Bluffs,Scott,HIGH SCHOOL,451.7,466.7,918.4,57%
030030010260001,Mulberry Grove Sr High School,Mulberry Grove,Bond,HIGH SCHOOL,451.6,443.4,895.0,55%
030030020260001,Bond Cty Comm Unit 2 High School,Greenville,Bond,HIGH SCHOOL,495.2,472.9,968.0999999999999,60%
030110010260002,Morrisonville High School,Morrisonville,Christian,HIGH SCHOOL,447.8,403.5,851.3,53%
030110030260006,Taylorville Sr High School,Taylorville,Christian,HIGH SCHOOL,475.2,453.2,928.4,58%
030110040260002,Edinburg High School,Edinburg,Christian,HIGH SCHOOL,493.1,402.3,895.4000000000001,55%
030110080260006,Pana Sr High School,Pana,Christian,HIGH SCHOOL,473.0,438.6,911.6,56%
030110140240001,South Fork Jr Sr High School,Kincaid,Christian,HIGH SCHOOL,417.0,393.5,810.5,50%
030250100260001,Altamont High School,Altamont,Effingham,HIGH SCHOOL,462.2,445.3,907.5,56%
030250200260001,Beecher City Jr-Sr High School,Beecher City,Effingham,HIGH SCHOOL,504.2,524.2,1028.4,64%
030250300260001,Dieterich Jr/Sr High School,Dieterich,Effingham,HIGH SCHOOL,468.6,468.9,937.5,58%
030250400260001,Effingham High School,Effingham,Effingham,HIGH SCHOOL,471.2,451.4,922.5999999999999,57%
030250500260001,Teutopolis High School,Teutopolis,Effingham,HIGH SCHOOL,503.4,492.0,995.4,62%
030262010260003,Brownstown High School,Brownstown,Fayette,HIGH SCHOOL,456.2,434.8,891.0,55%
030262020260002,St Elmo Sr High School,Saint Elmo,Fayette,HIGH SCHOOL,476.6,446.9,923.5,57%
030262030260001,Vandalia Community High School,Vandalia,Fayette,HIGH SCHOOL,448.1,437.5,885.6,55%
030262040260002,Ramsey High School,Ramsey,Fayette,HIGH SCHOOL,456.9,455.2,912.0999999999999,57%
030680020260001,Lincolnwood High School,Raymond,Montgomery,HIGH SCHOOL,463.7,457.0,920.7,57%
030680030260001,Hillsboro High School,Hillsboro,Montgomery,HIGH SCHOOL,457.0,431.2,888.2,55%
030680120260001,Litchfield Senior High School,Litchfield,Montgomery,HIGH SCHOOL,463.9,445.5,909.4,56%
030680220260001,Nokomis Jr/Sr High Sch,Nokomis,Montgomery,HIGH SCHOOL,465.4,468.3,933.7,58%
040041000260001,Belvidere High School,Belvidere,Boone,HIGH SCHOOL,438.0,410.5,848.5,53%
040041000260002,Belvidere North High Sch,Belvidere,Boone,HIGH SCHOOL,480.4,454.6,935.0,58%
040042000260003,North Boone High School,Poplar Grove,Boone,HIGH SCHOOL,461.4,434.6,896.0,56%
041011220220002,Harlem High School,Machesney Park,Winnebago,HIGH SCHOOL,465.1,444.3,909.4000000000001,56%
041012050250001,Auburn High School,Rockford,Winnebago,HIGH SCHOOL,473.6,447.2,920.8,57%
041012050250002,Rockford East High School,Rockford,Winnebago,HIGH SCHOOL,429.3,410.3,839.6,52%
041012050250003,Guilford High School,Rockford,Winnebago,HIGH SCHOOL,464.9,440.2,905.0999999999999,56%
041012050250004,Jefferson High School,Rockford,Winnebago,HIGH SCHOOL,406.7,385.0,791.7,49%
041012070160001,Hononegah CHD High School,Rockton,Winnebago,HIGH SCHOOL,548.9,528.4,1077.3,67%
041013200260001,South Beloit Sr High School,South Beloit,Winnebago,HIGH SCHOOL,460.4,462.6,923.0,57%
041013210260001,Pecatonica High School,Pecatonica,Winnebago,HIGH SCHOOL,533.0,510.2,1043.2,65%
041013220260001,Durand High School,Durand,Winnebago,HIGH SCHOOL,470.6,446.3,916.9000000000001,57%
041013230260001,Winnebago High School,Winnebago,Winnebago,HIGH SCHOOL,495.9,480.1,976.0,61%
050162020170001,Evanston Twp High School,Evanston,Cook,HIGH SCHOOL,542.2,522.4,1064.6,66%
050162030170001,New Trier Township H S Winnetka,Winnetka,Cook,HIGH SCHOOL,612.4,603.8,1216.1999999999998,76%
050162070170001,Maine East High School,Park Ridge,Cook,HIGH SCHOOL,483.1,465.7,948.8,59%
050162070170003,Maine South High School,Park Ridge,Cook,HIGH SCHOOL,549.7,542.1,1091.8000000000002,68%
050162070170004,Maine West High School,Des Plaines,Cook,HIGH SCHOOL,484.1,469.3,953.4000000000001,59%
050162110170001,J B Conant High School,Hoffman Estates,Cook,HIGH SCHOOL,534.7,552.2,1086.9,67%
050162110170002,Wm Fremd High School,Palatine,Cook,HIGH SCHOOL,572.1,583.2,1155.3000000000002,72%
050162110170003,Palatine High School,Palatine,Cook,HIGH SCHOOL,478.3,470.6,948.9000000000001,59%
050162110170004,Schaumburg High School,Schaumburg,Cook,HIGH SCHOOL,518.3,532.3,1050.6,65%
050162110170006,Hoffman Estates High School,Hoffman Estates,Cook,HIGH SCHOOL,501.5,497.7,999.2,62%
050162140170002,Elk Grove High School,Elk Grove Village,Cook,HIGH SCHOOL,479.3,461.9,941.2,58%
050162140170004,John Hersey High School,Arlington Heights,Cook,HIGH SCHOOL,577.9,564.2,1142.1,71%
050162140170005,Prospect High School,Mt Prospect,Cook,HIGH SCHOOL,557.9,551.1,1109.0,69%
050162140170006,Wheeling High School,Wheeling,Cook,HIGH SCHOOL,457.7,458.7,916.4,57%
050162140170007,Rolling Meadows High School,Rolling Meadows,Cook,HIGH SCHOOL,504.8,488.8,993.6,62%
050162140170008,Buffalo Grove High School,Buffalo Grove,Cook,HIGH SCHOOL,512.6,521.3,1033.9,64%
050162190170002,Niles North High School,Skokie,Cook,HIGH SCHOOL,522.9,510.4,1033.3,64%
050162190170003,Niles West High School,Skokie,Cook,HIGH SCHOOL,513.0,507.6,1020.6,63%
050162250170001,Glenbrook North High School,Northbrook,Cook,HIGH SCHOOL,597.0,607.7,1204.7,75%
050162250170002,Glenbrook South High School,Glenview,Cook,HIGH SCHOOL,561.4,559.5,1120.9,70%
060162000130001,Oak Park & River Forest High Sch,Oak Park,Cook,HIGH SCHOOL,562.8,538.0,1100.8,68%
060162010170001,J Sterling Morton East High Sch,Cicero,Cook,HIGH SCHOOL,428.4,417.8,846.2,52%
060162010170002,J Sterling Morton West High Sch,Berwyn,Cook,HIGH SCHOOL,450.7,427.6,878.3,54%
060162040170001,Lyons Twp High Sch,La Grange,Cook,HIGH SCHOOL,549.2,550.9,1100.1,68%
060162080170001,Riverside Brookfield Twp HS,Riverside,Cook,HIGH SCHOOL,531.7,523.9,1055.6,65%
060162090170001,Proviso East High School,Maywood,Cook,HIGH SCHOOL,418.1,383.2,801.3,50%
060162090170002,Proviso West High School,Hillside,Cook,HIGH SCHOOL,415.2,390.5,805.7,50%
060162090170003,Proviso Math and Science Academy,Forest Park,Cook,HIGH SCHOOL,539.4,508.7,1048.1,65%
060162120160001,East Leyden High School,Franklin Park,Cook,HIGH SCHOOL,465.4,453.1,918.5,57%
060162120160002,West Leyden High School,Northlake,Cook,HIGH SCHOOL,461.6,441.2,902.8,56%
060162340160001,Ridgewood Comm High School,Norridge,Cook,HIGH SCHOOL,483.0,471.4,954.4,59%
060164010260001,Elmwood Park High School,Elmwood Park,Cook,HIGH SCHOOL,469.8,460.2,930.0,58%
070162050170001,Thornton Township High School,Harvey,Cook,HIGH SCHOOL,414.7,398.2,812.9,50%
070162050170002,Thornridge High School,Dolton,Cook,HIGH SCHOOL,402.8,383.1,785.9000000000001,49%
070162050170003,Thornwood High School,South Holland,Cook,HIGH SCHOOL,422.9,406.9,829.8,51%
070162060170001,Bloom High School,Chicago Heights,Cook,HIGH SCHOOL,421.7,399.4,821.0999999999999,51%
070162060170002,Bloom Trail High School,Chicago Heights,Cook,HIGH SCHOOL,422.1,394.0,816.1,51%
070162100170001,Lemont Twp High School,Lemont,Cook,HIGH SCHOOL,544.8,542.7,1087.5,67%
070162150170001,Thornton Fractnl No High School,Calumet City,Cook,HIGH SCHOOL,425.8,397.1,822.9000000000001,51%
070162150170002,Thornton Fractnl So High School,Lansing,Cook,HIGH SCHOOL,457.1,428.4,885.5,55%
070162170160001,Argo Community High School,Summit,Cook,HIGH SCHOOL,452.9,442.7,895.5999999999999,55%
070162180160001,DD Eisenhower High Sch (Campus),Blue Island,Cook,HIGH SCHOOL,426.0,415.7,841.7,52%
070162180160004,H L Richards High Sch(Campus),Oak Lawn,Cook,HIGH SCHOOL,456.8,442.2,899.0,56%
070162180160007,A B Shepard High Sch (Campus),Palos Heights,Cook,HIGH SCHOOL,465.1,454.1,919.2,57%
070162200170001,Reavis High School,Burbank,Cook,HIGH SCHOOL,464.1,445.3,909.4000000000001,56%
070162270170002,Rich Township High School,Olympia Fields,Cook,HIGH SCHOOL,418.7,388.0,806.7,50%
070162280160001,Bremen High School,Midlothian,Cook,HIGH SCHOOL,437.6,424.1,861.7,53%
070162280160002,Tinley Park High School,Tinley Park,Cook,HIGH SCHOOL,472.9,456.2,929.0999999999999,58%
070162280160003,Hillcrest High School,Country Club Hills,Cook,HIGH SCHOOL,408.3,393.2,801.5,50%
070162280160004,Oak Forest High School,Oak Forest,Cook,HIGH SCHOOL,479.6,471.7,951.3,59%
070162290160001,Oak Lawn Comm High School,Oak Lawn,Cook,HIGH SCHOOL,467.8,457.5,925.3,57%
070162300130001,Carl Sandburg High School,Orland Park,Cook,HIGH SCHOOL,525.3,503.5,1028.8,64%
070162300130002,Amos Alonzo Stagg High School,Palos Hills,Cook,HIGH SCHOOL,503.8,494.5,998.3,62%
070162300130003,Victor J Andrew High School,Orland Hills,Cook,HIGH SCHOOL,503.7,486.3,990.0,61%
070162310160001,Evergreen Park High School,Evergreen Park,Cook,HIGH SCHOOL,484.9,458.1,943.0,58%
070162330160001,Homewood-Flossmoor High School,Flossmoor,Cook,HIGH SCHOOL,469.5,448.6,918.1,57%
080083080260001,Eastland Jr/Sr High School,Lanark,Carroll,HIGH SCHOOL,518.6,517.5,1036.1,64%
080083140260001,West Carroll High School,Savanna,Carroll,HIGH SCHOOL,459.7,439.9,899.5999999999999,56%
080083990260002,Chadwick-Milledgeville Jr/Sr High School,Milledgeville,Carroll,HIGH SCHOOL,498.2,475.0,973.2,60%
080431190220003,East Dubuque High School,East Dubuque,Jo Daviess,HIGH SCHOOL,473.1,469.1,942.2,58%
080431200220002,Galena High School,Galena,Jo Daviess,HIGH SCHOOL,524.6,505.8,1030.4,64%
080432050260001,Warren Jr/Sr High School,Warren,Jo Daviess,HIGH SCHOOL,503.7,520.5,1024.2,64%
080432060260003,Stockton Sr High School,Stockton,Jo Daviess,HIGH SCHOOL,498.9,478.9,977.8,61%
080432100260002,River Ridge High School,Hanover,Jo Daviess,HIGH SCHOOL,506.4,507.8,1014.2,63%
080432110260002,Scales Mound High School,Scales Mound,Jo Daviess,HIGH SCHOOL,497.3,510.0,1007.3,62%
080891450220001,Freeport High School,Freeport,Stephenson,HIGH SCHOOL,439.5,410.0,849.5,53%
080892000260001,Pearl City High School,Pearl City,Stephenson,HIGH SCHOOL,510.4,485.2,995.5999999999999,62%
080892010260001,Dakota Jr Sr High School,Dakota,Stephenson,HIGH SCHOOL,501.3,492.1,993.4000000000001,62%
080892020260001,Lena-Winslow High School,Lena,Stephenson,HIGH SCHOOL,500.6,493.6,994.2,62%
080892030260001,Orangeville High School,Orangeville,Stephenson,HIGH SCHOOL,493.7,487.4,981.0999999999999,61%
090100010260001,Fisher Jr/Sr High School,Fisher,Champaign,HIGH SCHOOL,517.6,495.3,1012.9000000000001,63%
090100030260001,Mahomet-Seymour High School,Mahomet,Champaign,HIGH SCHOOL,538.8,558.9,1097.6999999999998,68%
090100040260001,Centennial High School,Champaign,Champaign,HIGH SCHOOL,476.2,469.4,945.5999999999999,59%
090100040260002,Central High School,Champaign,Champaign,HIGH SCHOOL,503.4,497.2,1000.5999999999999,62%
090100070260007,Unity High School,Tolono,Champaign,HIGH SCHOOL,510.2,493.8,1004.0,62%
090100080260001,Heritage High School,Broadlands,Champaign,HIGH SCHOOL,478.1,448.1,926.2,57%
090101160220001,Urbana High School,Urbana,Champaign,HIGH SCHOOL,479.1,443.2,922.3,57%
090101930170001,Rantoul Twp High School,Rantoul,Champaign,HIGH SCHOOL,431.7,408.1,839.8,52%
090103050160001,St Joseph-Ogden High School,Saint Joseph,Champaign,HIGH SCHOOL,527.6,508.9,1036.5,64%
090270050260001,GCMS High School,Gibson City,Ford,HIGH SCHOOL,493.9,477.6,971.5,60%
090270100260001,Paxton-Buckley-Loda High School,Paxton,Ford,HIGH SCHOOL,464.2,456.3,920.5,57%
11012002C260001,Marshall High School,Marshall,Clark,HIGH SCHOOL,483.5,457.3,940.8,58%
11012003C260001,Martinsville Jr-Sr High School,Martinsville,Clark,HIGH SCHOOL,401.1,387.2,788.3,49%
11012004C260001,Casey-Westfield Jr/Sr HS,Casey,Clark,HIGH SCHOOL,492.7,492.7,985.4,61%
110150010260001,Charleston High School,Charleston,Coles,HIGH SCHOOL,456.0,425.4,881.4,55%
110150020260001,Mattoon High School,Mattoon,Coles,HIGH SCHOOL,461.4,431.6,893.0,55%
110150050260002,Oakland High School,Oakland,Coles,HIGH SCHOOL,431.6,427.4,859.0,53%
110180030260001,Neoga Jr/Sr High School,Neoga,Cumberland,HIGH SCHOOL,491.0,473.9,964.9,60%
110180770260001,Cumberland High School,Toledo,Cumberland,HIGH SCHOOL,470.0,459.5,929.5,58%
110213010260001,Tuscola High School,Tuscola,Douglas,HIGH SCHOOL,492.2,451.0,943.2,58%
110213020260001,Villa Grove High School,Villa Grove,Douglas,HIGH SCHOOL,471.6,439.4,911.0,56%
110213050260001,Arthur-Lovington-Atwood-Hammond High School,Arthur,Douglas,HIGH SCHOOL,459.4,441.3,900.7,56%
110213060260001,Arcola High School,Arcola,Douglas,HIGH SCHOOL,457.4,435.7,893.0999999999999,55%
110230010260001,Shiloh High School,Hume,Edgar,HIGH SCHOOL,417.7,402.7,820.4,51%
110230030260001,Kansas High School,Kansas,Edgar,HIGH SCHOOL,446.9,420.0,866.9,54%
110230060260001,Chrisman High School,Chrisman,Edgar,HIGH SCHOOL,442.6,422.2,864.8,54%
110238000800001,Paris Cooperative High School,Paris,Edgar,HIGH SCHOOL,466.9,454.9,921.8,57%
110703000260004,Sullivan High School,Sullivan,Moultrie,HIGH SCHOOL,489.6,460.3,949.9000000000001,59%
110703020260001,Okaw Valley High School,Bethany,Moultrie,HIGH SCHOOL,447.7,418.3,866.0,54%
110870010260002,Windsor Jr & Sr High School,Windsor,Shelby,HIGH SCHOOL,474.3,450.5,924.8,57%
11087003A260001,Cowden-Herrick Jr/Sr High School,Cowden,Shelby,HIGH SCHOOL,424.5,423.6,848.1,53%
110870040260001,Shelbyville High School,Shelbyville,Shelby,HIGH SCHOOL,486.6,476.5,963.1,60%
11087005A260001,Stewardson-Strasburg High School,Strasburg,Shelby,HIGH SCHOOL,503.5,494.2,997.7,62%
110870210260001,Central A & M High School,Moweaqua,Shelby,HIGH SCHOOL,453.4,422.7,876.0999999999999,54%
120130100260002,Clay City High School,Clay City,Clay,HIGH SCHOOL,447.4,422.1,869.5,54%
120130250260001,North Clay Community High School,Louisville,Clay,HIGH SCHOOL,440.0,417.1,857.1,53%
120130350260001,Flora High School,Flora,Clay,HIGH SCHOOL,468.4,428.3,896.7,56%
120170010260001,Hutsonville High School,Hutsonville,Crawford,HIGH SCHOOL,437.4,409.6,847.0,52%
120170020260001,Robinson High School,Robinson,Crawford,HIGH SCHOOL,483.0,444.6,927.6,57%
120170030260001,Palestine High School,Palestine,Crawford,HIGH SCHOOL,451.1,440.7,891.8,55%
120170040260001,Oblong High School,Oblong,Crawford,HIGH SCHOOL,483.3,450.0,933.3,58%
120400010260001,Newton Comm High School,Newton,Jasper,HIGH SCHOOL,453.2,454.4,907.5999999999999,56%
120510100260001,Red Hill Jr/Sr High School,Bridgeport,Lawrence,HIGH SCHOOL,481.8,434.4,916.2,57%
120510200260008,Lawrenceville High School,Lawrenceville,Lawrence,HIGH SCHOOL,476.1,420.8,896.9000000000001,56%
120800010260001,Richland County High School,Olney,Richland,HIGH SCHOOL,479.0,459.4,938.4,58%
130140010260001,Carlyle High School,Carlyle,Clinton,HIGH SCHOOL,466.6,462.7,929.3,58%
130140030260006,Wesclin Sr High School,Trenton,Clinton,HIGH SCHOOL,499.7,496.1,995.8,62%
130140710160001,Central Comm High School,Breese,Clinton,HIGH SCHOOL,497.8,508.4,1006.2,62%
130410010260001,Waltonville High School,Waltonville,Jefferson,HIGH SCHOOL,478.6,454.8,933.4000000000001,58%
130412010170001,Mount Vernon High School,Mount Vernon,Jefferson,HIGH SCHOOL,454.5,424.3,878.8,54%
130412090270001,Woodlawn High School,Woodlawn,Jefferson,HIGH SCHOOL,478.9,427.8,906.7,56%
130413180270001,Webber High School,Bluford,Jefferson,HIGH SCHOOL,462.7,415.0,877.7,54%
130581000260002,Patoka Sr High School,Patoka,Marion,HIGH SCHOOL,454.6,402.9,857.5,53%
130582000170001,Centralia High School,Centralia,Marion,HIGH SCHOOL,457.6,437.4,895.0,55%
130584010260001,South Central High School,Farina,Marion,HIGH SCHOOL,442.0,432.3,874.3,54%
130585010260001,Sandoval Sr High School,Sandoval,Marion,HIGH SCHOOL,414.3,407.0,821.3,51%
130586000160001,Salem Community High School,Salem,Marion,HIGH SCHOOL,487.6,465.4,953.0,59%
130587220260001,Odin Attendance Center 9-12,Odin,Marion,HIGH SCHOOL,418.0,396.7,814.7,50%
130950100260001,Okawville Jr/Sr High School,Okawville,Washington,HIGH SCHOOL,504.7,460.4,965.0999999999999,60%
130950990160001,Nashville Comm High School,Nashville,Washington,HIGH SCHOOL,502.4,475.0,977.4,61%
150162990250001,Amundsen High School,Chicago,Cook,HIGH SCHOOL,497.0,483.9,980.9,61%
150162990250003,Bogan High School,Chicago,Cook,HIGH SCHOOL,401.1,386.9,788.0,49%
150162990250006,Carver Military Academy HS,Chicago,Cook,HIGH SCHOOL,450.9,420.4,871.3,54%
150162990250011,Farragut Career Academy HS,Chicago,Cook,HIGH SCHOOL,404.2,391.8,796.0,49%
150162990250012,Fenger Academy High School,Chicago,Cook,HIGH SCHOOL,392.9,385.6,778.5,48%
150162990250013,Foreman High School,Chicago,Cook,HIGH SCHOOL,386.6,385.7,772.3,48%
150162990250014,Back of The Yards IB HS,Chicago,Cook,HIGH SCHOOL,462.6,469.3,931.9000000000001,58%
150162990250015,Gage Park High School,Chicago,Cook,HIGH SCHOOL,397.4,369.4,766.8,47%
150162990250016,Harlan Community Academy HS,Chicago,Cook,HIGH SCHOOL,375.1,363.1,738.2,46%
150162990250019,Hirsch Metropolitan High School,Chicago,Cook,HIGH SCHOOL,384.5,361.6,746.1,46%
150162990250020,Hubbard High School,Chicago,Cook,HIGH SCHOOL,437.6,413.5,851.1,53%
150162990250021,Hyde Park Academy High School,Chicago,Cook,HIGH SCHOOL,403.3,379.2,782.5,48%
150162990250022,Thomas Kelly College Preparatory,Chicago,Cook,HIGH SCHOOL,425.9,415.1,841.0,52%
