RCDTS,School Name,City,County,District Size,School Type,# Science Proficiency Total Student,# Science Proficiency - Male,# Science Proficiency - Female,# Science Proficiency - White,# Science Proficiency - Black or African American,# Science Proficiency - Hispanic or Latino,# Science Proficiency - Asian,# Science Proficiency - Native Hawaiian or Other Pacific Islander,# Science Proficiency - American Indian or Alaska Native,# Science Proficiency - Two or More Races,# Science Proficiency - Children with Disabilities
070161435022006,Posen Elem School,Posen,Cook,MEDIUM,ELEMENTARY,34.0,20.0,14.0,,6.0,26.0,,,,,2.0
070161435022007,Turner Elem School,Crestwood,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161435022010,Gordon School,Posen,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161440021002,Prairie-Hills Junior High School,Markham,Cook,LARGE,MIDDLE SCHL,47.0,29.0,18.0,,31.0,12.0,,,,,3.0
070161440022003,Fieldcrest Elem School,Oak Forest,Cook,LARGE,ELEMENTARY,12.0,4.0,8.0,,4.0,6.0,,,,,
070161440022004,Highlands Elem School,Hazel Crest,Cook,LARGE,ELEMENTARY,13.0,7.0,6.0,,10.0,,,,,,1.0
070161440022005,Markham Park Elem School,Markham,Cook,LARGE,ELEMENTARY,13.0,5.0,8.0,,8.0,5.0,,,,,0.0
070161440022007,Nob Hill Elem School,Country Club Hills,Cook,LARGE,ELEMENTARY,5.0,1.0,4.0,,4.0,,,,,,
070161440022009,Chateaux School,Hazel Crest,Cook,LARGE,ELEMENTARY,8.0,5.0,3.0,,8.0,,,,,,
070161440022010,Mae Jemison School,Hazel Crest,Cook,LARGE,ELEMENTARY,10.0,2.0,8.0,,9.0,,,,,,
070161440022011,Prairie-Hills STEAM Academy,Markham,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161450021001,Arbor Park Middle School,Oak Forest,Cook,MEDIUM,MIDDLE SCHL,125.0,67.0,58.0,71.0,12.0,26.0,12.0,,,4.0,15.0
070161450022002,Kimberly Heights Elementary School,Tinley Park,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161450022003,Scarlet Oak Elementary School,Oak Forest,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161450022004,Arbor Elementary School,Oak Forest,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161460041001,Central Middle School,Tinley Park,Cook,LARGE,MIDDLE SCHL,116.0,60.0,56.0,81.0,4.0,22.0,,,,,20.0
070161460042002,Bert H Fulton School,Tinley Park,Cook,LARGE,ELEMENTARY,35.0,13.0,22.0,21.0,,10.0,,,,,
070161460042003,Memorial Elem School,Tinley Park,Cook,LARGE,ELEMENTARY,22.0,11.0,11.0,17.0,,,,,,,
070161460042005,Walter F Fierke Ed Center,Oak Forest,Cook,LARGE,ELEMENTARY,50.0,32.0,18.0,33.0,,12.0,,,,,6.0
070161460042006,Arnold W Kruse Ed Center,Orland Park,Cook,LARGE,ELEMENTARY,32.0,15.0,17.0,22.0,,6.0,,,,,2.0
070161470021001,Rosa L Parks Middle School,Dixmoor,Cook,MEDIUM,MIDDLE SCHL,30.0,13.0,17.0,,12.0,18.0,,,,,3.0
070161470022004,Lincoln Elem School,Dixmoor,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161470022007,Martin L King Elem School,Dixmoor,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161480021002,Roosevelt Junior High School,Dolton,Cook,LARGE,MIDDLE SCHL,21.0,12.0,9.0,,19.0,,,,,,
070161480021003,Lincoln Junior High School,Dolton,Cook,LARGE,MIDDLE SCHL,20.0,14.0,6.0,,19.0,,,,,,
070161480021004,Washington Junior High,Riverdale,Cook,LARGE,MIDDLE SCHL,5.0,3.0,2.0,,3.0,,,,,,0.0
070161480022002,Riverdale School,Riverdale,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161480022003,Lincoln Elementary School,Dolton,Cook,LARGE,ELEMENTARY,11.0,5.0,6.0,,10.0,,,,,,
070161480022005,Roosevelt Elem School,Dolton,Cook,LARGE,ELEMENTARY,3.0,2.0,1.0,,2.0,,,,,,
070161480022006,Washington Elem School,Riverdale,Cook,LARGE,ELEMENTARY,6.0,3.0,3.0,,5.0,,,,,,
070161480022007,Franklin Elementary School,Dolton,Cook,LARGE,ELEMENTARY,5.0,2.0,3.0,,5.0,,,,,,
070161480022010,Park Elementary School,Riverdale,Cook,LARGE,ELEMENTARY,8.0,5.0,3.0,,8.0,,,,,,
070161480023002,Early Childhood Cntr,Dolton,Cook,LARGE,PreK,,,,,,,,,,,
070161490021004,S T E M Academy,Calumet City,Cook,LARGE,MIDDLE SCHL,33.0,18.0,15.0,,30.0,,,,,,1.0
070161490021005,Creative Communications Acad,Calumet City,Cook,LARGE,MIDDLE SCHL,14.0,8.0,6.0,,11.0,,,,,,1.0
070161490021006,School of Fine Arts,Calumet City,Cook,LARGE,MIDDLE SCHL,13.0,5.0,8.0,,12.0,,,,,,1.0
070161490022002,Diekman Elem School,Dolton,Cook,LARGE,ELEMENTARY,8.0,6.0,2.0,,7.0,,,,,,2.0
070161490022005,Caroline Sibley Elem School,Calumet City,Cook,LARGE,ELEMENTARY,2.0,1.0,1.0,,2.0,,,,,,0.0
070161490022006,Berger-Vandenberg Elem School,Dolton,Cook,LARGE,ELEMENTARY,9.0,8.0,1.0,,8.0,,,,,,
070161490022009,Carol Moseley Braun School,Calumet City,Cook,LARGE,ELEMENTARY,11.0,5.0,6.0,,10.0,,,,,,
070161490022010,New Beginnings Learning Academy,South Holland,Cook,LARGE,ELEMENTARY,9.0,6.0,3.0,,9.0,,,,,,
070161500021005,McKinley Jr High School,South Holland,Cook,MEDIUM,MIDDLE SCHL,38.0,16.0,22.0,,36.0,,,,,,1.0
070161500022001,Greenwood Elem School,South Holland,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161500022002,McKinley Elem School,South Holland,Cook,MEDIUM,ELEMENTARY,36.0,15.0,21.0,,31.0,,,,,,0.0
070161510021001,Coolidge Middle School,Phoenix,Cook,MEDIUM,MIDDLE SCHL,42.0,22.0,20.0,,26.0,15.0,,,,,5.0
070161510022002,Eisenhower School,South Holland,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161510022004,Madison School,South Holland,Cook,MEDIUM,ELEMENTARY,61.0,36.0,25.0,,31.0,27.0,,,,,5.0
070161510022006,Taft School,Harvey,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161520021001,Brooks Middle School,Harvey,Cook,LARGE,MIDDLE SCHL,37.0,21.0,16.0,,19.0,14.0,,,,,2.0
070161520022001,Bryant Elem School,Harvey,Cook,LARGE,ELEMENTARY,9.0,7.0,2.0,,6.0,2.0,,,,,
070161520022002,Maya Angelou Elem Sch,Harvey,Cook,LARGE,ELEMENTARY,2.0,1.0,1.0,,1.0,,,,,,
070161520022004,Holmes Elem School,Harvey,Cook,LARGE,ELEMENTARY,3.0,3.0,,,,3.0,,,,,
070161520022008,Whittier Elem School,Harvey,Cook,LARGE,ELEMENTARY,7.0,2.0,5.0,,2.0,3.0,,,,,
070161520023001,Riley Early Childhood Center,Harvey,Cook,LARGE,PreK,,,,,,,,,,,
070161525022001,Barack H Obama Learning Academy,Markham,Cook,MEDIUM,ELEMENTARY,19.0,10.0,9.0,,11.0,7.0,,,,,0.0
070161525022005,Jesse C White Learning Academy,Hazel Crest,Cook,MEDIUM,ELEMENTARY,30.0,17.0,13.0,,22.0,,,,,,1.0
070161530021003,James Hart School,Homewood,Cook,LARGE,MIDDLE SCHL,102.0,55.0,47.0,28.0,51.0,12.0,,,,11.0,16.0
070161530022002,Winston Churchill School,Homewood,Cook,LARGE,ELEMENTARY,122.0,56.0,66.0,48.0,50.0,15.0,,,,8.0,20.0
070161530022005,Willow School,Homewood,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161540022002,Wolcott School,Thornton,Cook,SMALL,ELEMENTARY,21.0,16.0,5.0,5.0,3.0,11.0,,,,,
070161545022001,Burnham Elem School,Burnham,Cook,SMALL,ELEMENTARY,5.0,2.0,3.0,,1.0,4.0,,,,,
070161550021001,Wentworth Jr High School,Calumet City,Cook,MEDIUM,MIDDLE SCHL,28.0,18.0,10.0,,17.0,11.0,,,,,0.0
070161550022002,Wilson Elementary School,Calumet City,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161550022004,Wentworth Intermediate School,Calumet City,Cook,MEDIUM,ELEMENTARY,21.0,9.0,12.0,,8.0,12.0,,,,,3.0
070161560022001,Lincoln Elem School,Calumet City,Cook,MEDIUM,ELEMENTARY,55.0,25.0,30.0,,25.0,27.0,,,,,2.0
070161570021001,Schrum Memorial School,Calumet City,Cook,MEDIUM,MIDDLE SCHL,26.0,11.0,15.0,,17.0,8.0,,,,,2.0
070161570022001,Hoover Elem School,Calumet City,Cook,MEDIUM,ELEMENTARY,23.0,11.0,12.0,,17.0,6.0,,,,,1.0
070161580021004,Memorial Jr High School,Lansing,Cook,LARGE,MIDDLE SCHL,106.0,53.0,53.0,15.0,52.0,34.0,,,,4.0,8.0
070161580022001,Coolidge Elementary School,Lansing,Cook,LARGE,ELEMENTARY,54.0,23.0,31.0,10.0,18.0,18.0,,,,8.0,2.0
070161580022005,Oak Glen Elem School,Lansing,Cook,LARGE,ELEMENTARY,34.0,14.0,20.0,,20.0,9.0,,,,,1.0
070161580022006,Reavis Elem School,Lansing,Cook,LARGE,ELEMENTARY,26.0,15.0,11.0,,15.0,7.0,,,,,
070161580023001,Lester Crawl Primary Ctr,Lansing,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161590021001,Colin Powell Middle Sch,Matteson,Cook,LARGE,MIDDLE SCHL,105.0,55.0,50.0,,86.0,13.0,,,,,8.0
070161590022002,Sieden Prairie Elementary School,Matteson,Cook,LARGE,ELEMENTARY,14.0,6.0,8.0,,5.0,6.0,,,,,
070161590022004,Neil Armstrong Elem School,Richton Park,Cook,LARGE,ELEMENTARY,33.0,12.0,21.0,,28.0,,,,,,
070161590022005,Woodgate Elem School,Matteson,Cook,LARGE,ELEMENTARY,13.0,8.0,5.0,,12.0,,,,,,
070161590022006,Marya Yates Elementary School,Matteson,Cook,LARGE,ELEMENTARY,22.0,12.0,10.0,,20.0,,,,,,
070161600021001,Southwood Middle School,Country Club Hills,Cook,MEDIUM,MIDDLE SCHL,27.0,12.0,15.0,,23.0,2.0,,,,,4.0
070161600022003,Zenon J Sykuta  School,Country Club Hills,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161600022004,Meadowview  School,Country Club Hills,Cook,MEDIUM,ELEMENTARY,33.0,18.0,15.0,,29.0,,,,,,3.0
070161610021003,Parker Junior High School,Flossmoor,Cook,LARGE,MIDDLE SCHL,169.0,89.0,80.0,24.0,114.0,18.0,,,,13.0,11.0
070161610022001,Flossmoor Hills Elem School,Flossmoor,Cook,LARGE,ELEMENTARY,29.0,12.0,17.0,,27.0,,,,,,3.0
070161610022002,Heather Hill Elem School,Flossmoor,Cook,LARGE,ELEMENTARY,31.0,15.0,16.0,,24.0,,,,,,
070161610022006,Serena Hills Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,24.0,8.0,16.0,,12.0,9.0,,,,,
070161610022007,Western Avenue Elem School,Flossmoor,Cook,LARGE,ELEMENTARY,57.0,20.0,37.0,19.0,27.0,,,,,,5.0
070161620021004,O W Huth Middle School,Matteson,Cook,LARGE,MIDDLE SCHL,66.0,26.0,40.0,,50.0,13.0,,,,,5.0
070161620022001,Arcadia Elem School,Olympia Fields,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161620022003,Indiana Elem School,Park Forest,Cook,LARGE,ELEMENTARY,44.0,23.0,21.0,,38.0,,,,,,4.0
070161620022005,Matteson Elem School,Matteson,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161620022008,Sauk Elem School,Richton Park,Cook,LARGE,ELEMENTARY,29.0,16.0,13.0,,21.0,,,,,,0.0
070161620022009,Illinois School,Park Forest,Cook,LARGE,ELEMENTARY,31.0,14.0,17.0,,26.0,,,,,,3.0
070161620022010,Richton Square School,Richton Park,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161630021010,Michelle Obama Sch of Technology and the Arts,Park Forest,Cook,MEDIUM,MIDDLE SCHL,38.0,16.0,22.0,,27.0,7.0,,,,,6.0
070161630022002,Barack Obama Sch of Leadership and STEM,Chicago Heights,Cook,MEDIUM,ELEMENTARY,47.0,15.0,32.0,,38.0,4.0,,,,,2.0
070161630022003,Blackhawk Primary Center,Park Forest,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161630022007,Mohawk Primary Center,Park Forest,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161630022008,21st Century Primary Center,Park Forest,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161630023001,Algonquin Primary Center,Park Forest,Cook,MEDIUM,PreK,,,,,,,,,,,
070161670021002,Brookwood Jr High School,Glenwood,Cook,MEDIUM,MIDDLE SCHL,63.0,34.0,29.0,,46.0,13.0,,,,,5.0
070161670022001,Brookwood Middle School,Glenwood,Cook,MEDIUM,ELEMENTARY,35.0,22.0,13.0,,22.0,13.0,,,,,1.0
070161670022003,Longwood Elem School,Glenwood,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161670022004,Hickory Bend Elem School,Glenwood,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161680041003,Rickover Jr High School,Sauk Village,Cook,MEDIUM,MIDDLE SCHL,19.0,9.0,10.0,,14.0,4.0,,,,,1.0
070161680042001,Strassburg Elem,Sauk Village,Cook,MEDIUM,ELEMENTARY,30.0,13.0,17.0,,18.0,8.0,,,,,3.0
070161680042002,Wagoner Elem,Sauk Village,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161690021001,Cottage Grove Upper Grade Center,Ford Heights,Cook,MEDIUM,MIDDLE SCHL,10.0,6.0,4.0,,9.0,,,,,,1.0
070161690022002,Medgar Evers Primary Academic Center,Ford Heights,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161700021002,Chicago Heights Middle School,Chicago Hts,Cook,LARGE,MIDDLE SCHL,124.0,63.0,61.0,6.0,26.0,91.0,,,,,10.0
070161700022001,Washington-McKinley Elem Sch,Chicago Heights,Cook,LARGE,ELEMENTARY,8.0,5.0,3.0,,,7.0,,,,,
070161700022002,Roosevelt Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,19.0,11.0,8.0,,4.0,15.0,,,,,
070161700022005,Wilson Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,8.0,2.0,6.0,,3.0,5.0,,,,,
070161700022007,Garfield Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,21.0,9.0,12.0,,,19.0,,,,,
070161700022008,U S Grant Elem School,South Chicago Heights,Cook,LARGE,ELEMENTARY,9.0,6.0,,,,8.0,,,,,
070161700022009,Greenbriar Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,17.0,8.0,9.0,,6.0,8.0,,,,,
070161700022011,Jefferson Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,9.0,9.0,0.0,,,9.0,,,,,
070161700022012,Kennedy Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,9.0,8.0,1.0,,4.0,4.0,,,,,
070161700022013,Lincoln Elem School,Chicago Heights,Cook,LARGE,ELEMENTARY,,,,,,,,,,,
070161710021001,Heritage Middle School,Lansing,Cook,MEDIUM,MIDDLE SCHL,92.0,42.0,50.0,,64.0,21.0,,,,,4.0
070161710022001,Nathan Hale Elem School,Lansing,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161720022001,Sandridge Elem School,Lynwood,Cook,MEDIUM,ELEMENTARY,26.0,11.0,15.0,,16.0,4.0,,,,,0.0
070161940021001,Columbia Central School,Steger,Cook,MEDIUM,MIDDLE SCHL,88.0,53.0,35.0,30.0,17.0,31.0,,,,9.0,5.0
070161940022002,Steger Intermediate Center,Steger,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070161940022005,Steger Primary Center,South Chicago Heights,Cook,MEDIUM,ELEMENTARY,,,,,,,,,,,
070162050170001,Thornton Township High School,Harvey,Cook,LARGE,HIGH SCHOOL,55.0,33.0,22.0,,28.0,26.0,,,,,2.0
070162050170002,Thornridge High School,Dolton,Cook,LARGE,HIGH SCHOOL,19.0,7.0,12.0,,19.0,0.0,,,,,2.0
070162050170003,Thornwood High School,South Holland,Cook,LARGE,HIGH SCHOOL,86.0,48.0,38.0,,62.0,17.0,,,,5.0,11.0
070162060170001,Bloom High School,Chicago Heights,Cook,MEDIUM,HIGH SCHOOL,105.0,56.0,49.0,,29.0,68.0,,,,4.0,9.0
070162060170002,Bloom Trail High School,Chicago Heights,Cook,MEDIUM,HIGH SCHOOL,80.0,35.0,45.0,16.0,27.0,28.0,,,,7.0,3.0
070162100170001,Lemont Twp High School,Lemont,Cook,MEDIUM,HIGH SCHOOL,245.0,126.0,119.0,193.0,,25.0,14.0,,,11.0,24.0
070162150170001,Thornton Fractnl No High School,Calumet City,Cook,MEDIUM,HIGH SCHOOL,73.0,37.0,36.0,,41.0,28.0,,,,,2.0
070162150170002,Thornton Fractnl So High School,Lansing,Cook,MEDIUM,HIGH SCHOOL,178.0,81.0,97.0,20.0,98.0,51.0,,,,5.0,3.0
070162170160001,Argo Community High School,Summit,Cook,MEDIUM,HIGH SCHOOL,143.0,63.0,80.0,63.0,10.0,66.0,,,,,11.0
070162180160001,DD Eisenhower High Sch (Campus),Blue Island,Cook,LARGE,HIGH SCHOOL,153.0,87.0,66.0,5.0,28.0,113.0,,,,,16.0
070162180160004,H L Richards High Sch(Campus),Oak Lawn,Cook,LARGE,HIGH SCHOOL,191.0,103.0,88.0,93.0,27.0,61.0,,,,,12.0
070162180160007,A B Shepard High Sch (Campus),Palos Heights,Cook,LARGE,HIGH SCHOOL,235.0,118.0,117.0,114.0,30.0,83.0,,,,,12.0
070162200170001,Reavis High School,Burbank,Cook,MEDIUM,HIGH SCHOOL,251.0,128.0,123.0,78.0,,158.0,,,,6.0,23.0
070162270170002,Rich Township High School,Olympia Fields,Cook,MEDIUM,HIGH SCHOOL,72.0,37.0,35.0,,47.0,16.0,,,,6.0,3.0
070162280160001,Bremen High School,Midlothian,Cook,LARGE,HIGH SCHOOL,106.0,64.0,42.0,12.0,8.0,80.0,,,,,6.0
070162280160002,Tinley Park High School,Tinley Park,Cook,LARGE,HIGH SCHOOL,117.0,47.0,70.0,56.0,22.0,25.0,,,,7.0,16.0
070162280160003,Hillcrest High School,Country Club Hills,Cook,LARGE,HIGH SCHOOL,67.0,38.0,29.0,,56.0,6.0,,,,,5.0
070162280160004,Oak Forest High School,Oak Forest,Cook,LARGE,HIGH SCHOOL,160.0,87.0,73.0,96.0,11.0,39.0,10.0,,,4.0,14.0
070162290160001,Oak Lawn Comm High School,Oak Lawn,Cook,MEDIUM,HIGH SCHOOL,193.0,115.0,78.0,101.0,11.0,76.0,,,,,16.0
070162300130001,Carl Sandburg High School,Orland Park,Cook,LARGE,HIGH SCHOOL,438.0,215.0,223.0,329.0,22.0,43.0,36.0,,,,47.0
070162300130002,Amos Alonzo Stagg High School,Palos Hills,Cook,LARGE,HIGH SCHOOL,346.0,183.0,163.0,252.0,8.0,62.0,16.0,,,8.0,26.0
070162300130003,Victor J Andrew High School,Orland Hills,Cook,LARGE,HIGH SCHOOL,265.0,134.0,131.0,204.0,6.0,34.0,16.0,,,,26.0
070162310160001,Evergreen Park High School,Evergreen Park,Cook,MEDIUM,HIGH SCHOOL,108.0,57.0,51.0,50.0,23.0,32.0,,,,,8.0
070162330160001,Homewood-Flossmoor High School,Flossmoor,Cook,MEDIUM,HIGH SCHOOL,238.0,114.0,124.0,41.0,160.0,25.0,,,,10.0,236.0
07016901025001C,Southland College Prep Charter High School,Richton Park,Cook,SMALL,CHARTER SCH,61.0,29.0,32.0,,50.0,,,,,7.0,5.0
080083080260001,Eastland Jr/Sr High School,Lanark,Carroll,MEDIUM,HIGH SCHOOL,56.0,28.0,28.0,52.0,,,,,,,2.0
080083080262003,Eastland Elementary School,Shannon,Carroll,MEDIUM,ELEMENTARY,40.0,22.0,18.0,33.0,,,,,,,
080083140260001,West Carroll High School,Savanna,Carroll,MEDIUM,HIGH SCHOOL,27.0,13.0,14.0,21.0,,5.0,,,,,1.0
080083140261001,West Carroll Middle School,Mount Carroll,Carroll,MEDIUM,MIDDLE SCHL,27.0,14.0,13.0,25.0,,,,,,,0.0
080083140262002,West Carroll Primary,Savanna,Carroll,MEDIUM,ELEMENTARY,35.0,11.0,24.0,31.0,,,,,,,1.0
080083990260002,Chadwick-Milledgeville Jr/Sr High School,Milledgeville,Carroll,MEDIUM,HIGH SCHOOL,35.0,21.0,14.0,30.0,,,,,,,
080083990262001,Chadwick-Milledgeville Elem School,Milledgeville,Carroll,MEDIUM,ELEMENTARY,18.0,9.0,9.0,18.0,,,,,,,
080431190220003,East Dubuque High School,East Dubuque,Jo Daviess,MEDIUM,HIGH SCHOOL,0.0,,,0.0,,,,,,,
080431190221001,East Dubuque Jr High,East Dubuque,Jo Daviess,MEDIUM,MIDDLE SCHL,23.0,13.0,10.0,22.0,,,,,,,
080431190222002,East Dubuque Elem School,East Dubuque,Jo Daviess,MEDIUM,ELEMENTARY,28.0,11.0,17.0,23.0,,,,,,,
080431200220002,Galena High School,Galena,Jo Daviess,MEDIUM,HIGH SCHOOL,47.0,22.0,25.0,39.0,,8.0,,,,,
080431200221001,Galena Middle School,Galena,Jo Daviess,MEDIUM,MIDDLE SCHL,88.0,41.0,47.0,79.0,,5.0,,,,,6.0
080431200222002,Galena Elementary and Middle School,Galena,Jo Daviess,MEDIUM,ELEMENTARY,,,,,,,,,,,
080432050260001,Warren Jr/Sr High School,Warren,Jo Daviess,SMALL,HIGH SCHOOL,32.0,20.0,12.0,31.0,,,,,,,4.0
080432050262002,Warren Elementary School,Warren,Jo Daviess,SMALL,ELEMENTARY,20.0,14.0,6.0,19.0,,,,,,,
080432060260003,Stockton Sr High School,Stockton,Jo Daviess,MEDIUM,HIGH SCHOOL,16.0,9.0,7.0,16.0,,,,,,,
080432060262002,Stockton Elem School,Stockton,Jo Daviess,MEDIUM,ELEMENTARY,,,,,,,,,,,
080432060262003,Stockton Middle School,Stockton,Jo Daviess,MEDIUM,ELEMENTARY,39.0,19.0,20.0,34.0,,,,,,,2.0
080432100260002,River Ridge High School,Hanover,Jo Daviess,MEDIUM,HIGH SCHOOL,29.0,11.0,18.0,26.0,,,,,,,
080432100261001,River Ridge Middle School,Hanover,Jo Daviess,MEDIUM,MIDDLE SCHL,23.0,10.0,13.0,21.0,,,,,,,
080432100262003,River Ridge Elementary School,Hanover,Jo Daviess,MEDIUM,ELEMENTARY,12.0,3.0,9.0,10.0,,,,,,,
080432110260002,Scales Mound High School,Scales Mound,Jo Daviess,SMALL,HIGH SCHOOL,16.0,,12.0,16.0,,,,,,,
080432110261001,Scales Mound Jr High School,Scales Mound,Jo Daviess,SMALL,MIDDLE SCHL,17.0,10.0,7.0,16.0,,,,,,,
080432110262001,Scales Mound Elem School,Scales Mound,Jo Daviess,SMALL,ELEMENTARY,9.0,6.0,,8.0,,,,,,,
080891450220001,Freeport High School,Freeport,Stephenson,LARGE,HIGH SCHOOL,100.0,54.0,46.0,61.0,10.0,10.0,,,,17.0,3.0
080891450221002,Freeport Middle School,Freeport,Stephenson,LARGE,MIDDLE SCHL,89.0,36.0,53.0,52.0,11.0,11.0,,,,14.0,0.0
080891450222003,Blackhawk Elem School,Freeport,Stephenson,LARGE,ELEMENTARY,,,,,,,,,,,
080891450222004,Center Elem School,Freeport,Stephenson,LARGE,ELEMENTARY,,,,,,,,,,,
080891450222005,Lincoln-Douglas Elementary School,Freeport,Stephenson,LARGE,ELEMENTARY,,,,,,,,,,,
080891450222006,Empire Elem School,Freeport,Stephenson,LARGE,ELEMENTARY,,,,,,,,,,,
080891450222015,Carl Sandburg Middle Sch,Freeport,Stephenson,LARGE,ELEMENTARY,58.0,35.0,23.0,36.0,4.0,5.0,,,,12.0,2.0
080891450222017,"Jones-Farrar, an International Baccalaureate World School",Freeport,Stephenson,LARGE,ELEMENTARY,21.0,10.0,11.0,13.0,1.0,,,,,,
080892000260001,Pearl City High School,Pearl City,Stephenson,SMALL,HIGH SCHOOL,22.0,12.0,10.0,18.0,,,,,,,
080892000261001,Pearl City Jr High School,Pearl City,Stephenson,SMALL,MIDDLE SCHL,21.0,13.0,8.0,17.0,,,,,,,
080892000262001,Pearl City Elementary School,Pearl City,Stephenson,SMALL,ELEMENTARY,12.0,10.0,2.0,12.0,,,,,,,
080892010260001,Dakota Jr Sr High School,Dakota,Stephenson,MEDIUM,HIGH SCHOOL,78.0,40.0,38.0,75.0,,,,,,,
080892010262003,Dakota Elementary School,Dakota,Stephenson,MEDIUM,ELEMENTARY,36.0,13.0,23.0,34.0,,,,,,,7.0
080892020260001,Lena-Winslow High School,Lena,Stephenson,MEDIUM,HIGH SCHOOL,41.0,23.0,18.0,39.0,,,,,,,
080892020261002,Lena-Winslow Jr High School,Lena,Stephenson,MEDIUM,MIDDLE SCHL,36.0,22.0,14.0,33.0,,,,,,,
080892020262003,Lena-Winslow Elem School,Lena,Stephenson,MEDIUM,ELEMENTARY,23.0,9.0,14.0,21.0,,,,,,,
080892030260001,Orangeville High School,Orangeville,Stephenson,SMALL,HIGH SCHOOL,13.0,,,13.0,,,,,,,
080892030261001,Orangeville Jr High School,Orangeville,Stephenson,SMALL,MIDDLE SCHL,14.0,4.0,10.0,14.0,,,,,,,3.0
080892030262003,Orangeville Elem School,Orangeville,Stephenson,SMALL,ELEMENTARY,10.0,6.0,,10.0,,,,,,,
090100010260001,Fisher Jr/Sr High School,Fisher,Champaign,MEDIUM,HIGH SCHOOL,51.0,26.0,25.0,50.0,,,,,,,5.0
090100010262002,Fisher Grade School,Fisher,Champaign,MEDIUM,ELEMENTARY,24.0,15.0,9.0,24.0,,,,,,,
090100030260001,Mahomet-Seymour High School,Mahomet,Champaign,LARGE,HIGH SCHOOL,127.0,75.0,52.0,114.0,,,,,,4.0,28.0
090100030261002,Mahomet-Seymour Jr High School,Mahomet,Champaign,LARGE,MIDDLE SCHL,214.0,104.0,110.0,177.0,,12.0,9.0,,,10.0,3.0
090100030262003,Lincoln Trail Elem School,Mahomet,Champaign,LARGE,ELEMENTARY,188.0,95.0,93.0,169.0,4.0,,,,,,9.0
090100030262005,Middletown Prairie Elementary ,Mahomet,Champaign,LARGE,ELEMENTARY,,,,,,,,,,,
090100040260001,Centennial High School,Champaign,Champaign,LARGE,HIGH SCHOOL,135.0,64.0,71.0,61.0,24.0,11.0,28.0,,,11.0,13.0
090100040260002,Central High School,Champaign,Champaign,LARGE,HIGH SCHOOL,190.0,83.0,106.0,109.0,17.0,21.0,28.0,,,15.0,27.0
090100040261003,Edison Middle School,Champaign,Champaign,LARGE,MIDDLE SCHL,115.0,60.0,55.0,81.0,8.0,10.0,12.0,,,3.0,15.0
090100040261005,Jefferson Middle School,Champaign,Champaign,LARGE,MIDDLE SCHL,99.0,56.0,43.0,59.0,16.0,4.0,12.0,,,8.0,11.0
090100040261007,Franklin Middle School,Champaign,Champaign,LARGE,MIDDLE SCHL,64.0,32.0,32.0,26.0,8.0,3.0,18.0,,,9.0,9.0
090100040262007,Bottenfield Elem School,Champaign,Champaign,LARGE,ELEMENTARY,37.0,22.0,15.0,26.0,3.0,,,,,,3.0
090100040262008,Carrie Busey Elem School,Savoy,Champaign,LARGE,ELEMENTARY,58.0,25.0,33.0,34.0,,,10.0,,,,10.0
090100040262010,Dr Howard Elem School,Champaign,Champaign,LARGE,ELEMENTARY,25.0,15.0,10.0,10.0,1.0,,10.0,,,,2.0
